date,value
2015-10-08,104.354839
2015-10-09,104.311613
2015-10-12,104.353226
2015-10-13,104.35129
2015-10-14,104.331936
2015-10-15,104.327419
2015-10-16,104.293871
2015-10-19,104.308065
2015-10-20,104.326129
2015-10-21,104.320645
2015-10-22,104.350323
2015-10-26,104.352258
2015-10-27,104.403226
2015-10-28,105.199677
2015-10-29,105.294516
2015-10-30,105.360323
2015-11-02,105.317333
2015-11-03,105.304
2015-11-04,105.372
2015-11-05,105.375
2015-11-06,105.386
2015-11-09,105.390667
2015-11-10,105.382667
2015-11-11,105.386667
2015-11-12,105.355333
2015-11-13,105.350667
2015-11-16,105.354
2015-11-17,105.358667
2015-11-18,105.362667
2015-11-19,105.383
2015-11-20,105.385333
2015-11-23,105.385333
2015-11-24,105.404333
2015-11-25,105.395
2015-11-26,105.382
2015-11-27,105.385333
2015-11-30,105.408333
2015-12-01,105.413
2015-12-02,105.409
2015-12-03,105.416333
2015-12-04,105.400667
2015-12-07,105.113667
2015-12-08,104.257667
2015-12-09,103.564667
2015-12-10,103.770667
2015-12-11,103.959333
2015-12-14,104.099333
2015-12-15,104.563667
2015-12-16,104.675
2015-12-17,104.701667
2015-12-18,104.662
2015-12-21,104.606
2015-12-22,104.742333
2015-12-23,104.703333
2015-12-28,104.664667
2015-12-29,104.703
2015-12-30,104.686333
2015-12-31,104.702333
2016-01-04,104.713226
2016-01-05,104.802581
2016-01-06,104.818065
2016-01-07,104.824516
2016-01-08,104.828581
2016-01-11,104.847097
2016-01-12,104.852903
2016-01-13,104.853226
2016-01-14,104.853871
2016-01-15,104.848387
2016-01-18,104.853871
2016-01-19,104.857419
2016-01-20,104.851936
2016-01-21,104.851613
2016-01-22,104.849032
2016-01-25,104.851936
2016-01-26,104.86129
2016-01-27,104.857097
2016-01-28,104.856129
2016-01-29,104.844194
2016-02-01,104.84871
2016-02-02,104.848387
2016-02-03,104.832581
2016-02-04,104.590645
2016-02-08,104.147419
2016-02-09,104.37
2016-02-10,104.630645
2016-02-11,104.604839
2016-02-12,104.532581
2016-02-15,104.526452
2016-02-16,104.638387
2016-02-17,104.638387
2016-02-18,104.700968
2016-02-19,104.700968
2016-02-22,104.738387
2016-02-23,104.730968
2016-02-24,104.694516
2016-02-25,104.515161
2016-02-26,104.575807
2016-02-29,104.597742
2016-03-01,104.605484
2016-03-02,104.679516
2016-03-03,104.659355
2016-03-04,104.703226
2016-03-07,104.670323
2016-03-08,104.64129
2016-03-09,104.656452
2016-03-10,104.670968
2016-03-11,104.644516
2016-03-14,104.610645
2016-03-15,104.616452
