Country,Indicator,Date,Close,Source,Frequency
akistan,Exchange Rate,12/30/2021,177.9,Trading Economics,Daily
akistan,Exchange Rate,12/29/2021,178.15,Trading Economics,Daily
akistan,Exchange Rate,12/28/2021,178.3,Trading Economics,Daily
akistan,Exchange Rate,12/27/2021,178.05,Trading Economics,Daily
akistan,Exchange Rate,12/24/2021,178.25,Trading Economics,Daily
akistan,Exchange Rate,12/23/2021,178,Trading Economics,Daily
akistan,Exchange Rate,12/22/2021,178.3,Trading Economics,Daily
akistan,Exchange Rate,12/21/2021,178.15,Trading Economics,Daily
akistan,Exchange Rate,12/20/2021,177.95,Trading Economics,Daily
akistan,Exchange Rate,12/17/2021,178.1,Trading Economics,Daily
akistan,Exchange Rate,12/16/2021,177.9,Trading Economics,Daily
akistan,Exchange Rate,12/15/2021,177.85,Trading Economics,Daily
akistan,Exchange Rate,12/14/2021,177.8,Trading Economics,Daily
akistan,Exchange Rate,12/13/2021,177.8,Trading Economics,Daily
akistan,Exchange Rate,12/10/2021,177.5,Trading Economics,Daily
akistan,Exchange Rate,12/9/2021,177.05,Trading Economics,Daily
akistan,Exchange Rate,12/8/2021,177.15,Trading Economics,Daily
akistan,Exchange Rate,12/7/2021,176.5,Trading Economics,Daily
akistan,Exchange Rate,12/6/2021,176.5,Trading Economics,Daily
akistan,Exchange Rate,12/3/2021,176.35,Trading Economics,Daily
akistan,Exchange Rate,12/2/2021,176.5,Trading Economics,Daily
akistan,Exchange Rate,12/1/2021,174.98,Trading Economics,Daily
akistan,Exchange Rate,11/30/2021,175.72,Trading Economics,Daily
akistan,Exchange Rate,11/29/2021,176,Trading Economics,Daily
akistan,Exchange Rate,11/26/2021,175.3,Trading Economics,Daily
akistan,Exchange Rate,11/25/2021,175.11,Trading Economics,Daily
akistan,Exchange Rate,11/24/2021,175.3,Trading Economics,Daily
akistan,Exchange Rate,11/23/2021,174.55,Trading Economics,Daily
akistan,Exchange Rate,11/22/2021,174.5,Trading Economics,Daily
akistan,Exchange Rate,11/19/2021,174.73,Trading Economics,Daily
akistan,Exchange Rate,11/18/2021,174.4,Trading Economics,Daily
akistan,Exchange Rate,11/17/2021,174.25,Trading Economics,Daily
akistan,Exchange Rate,11/16/2021,174.25,Trading Economics,Daily
akistan,Exchange Rate,11/15/2021,174.2,Trading Economics,Daily
akistan,Exchange Rate,11/12/2021,175.25,Trading Economics,Daily
akistan,Exchange Rate,11/11/2021,173.5,Trading Economics,Daily
akistan,Exchange Rate,11/10/2021,172.25,Trading Economics,Daily
akistan,Exchange Rate,11/9/2021,170.93,Trading Economics,Daily
akistan,Exchange Rate,11/8/2021,169.8,Trading Economics,Daily
akistan,Exchange Rate,11/5/2021,169.6,Trading Economics,Daily
akistan,Exchange Rate,11/4/2021,169.58,Trading Economics,Daily
akistan,Exchange Rate,11/3/2021,169.54,Trading Economics,Daily
akistan,Exchange Rate,11/2/2021,169.88,Trading Economics,Daily
akistan,Exchange Rate,11/1/2021,171.24,Trading Economics,Daily
akistan,Exchange Rate,10/30/2021,171.55,Trading Economics,Daily
akistan,Exchange Rate,10/29/2021,170.38,Trading Economics,Daily
akistan,Exchange Rate,10/28/2021,171.75,Trading Economics,Daily
akistan,Exchange Rate,10/27/2021,173.75,Trading Economics,Daily
akistan,Exchange Rate,10/26/2021,174.6,Trading Economics,Daily
akistan,Exchange Rate,10/25/2021,174.3,Trading Economics,Daily
akistan,Exchange Rate,10/22/2021,173.95,Trading Economics,Daily
akistan,Exchange Rate,10/21/2021,173.2,Trading Economics,Daily
akistan,Exchange Rate,10/20/2021,173.2,Trading Economics,Daily
akistan,Exchange Rate,10/19/2021,172.25,Trading Economics,Daily
akistan,Exchange Rate,10/18/2021,172,Trading Economics,Daily
akistan,Exchange Rate,10/15/2021,171,Trading Economics,Daily
akistan,Exchange Rate,10/14/2021,171,Trading Economics,Daily
akistan,Exchange Rate,10/13/2021,170.75,Trading Economics,Daily
akistan,Exchange Rate,10/12/2021,171,Trading Economics,Daily
akistan,Exchange Rate,10/11/2021,170.65,Trading Economics,Daily
akistan,Exchange Rate,10/8/2021,170.25,Trading Economics,Daily
akistan,Exchange Rate,10/7/2021,170.25,Trading Economics,Daily
akistan,Exchange Rate,10/6/2021,170.75,Trading Economics,Daily
akistan,Exchange Rate,10/5/2021,170.5,Trading Economics,Daily
akistan,Exchange Rate,10/4/2021,170.4,Trading Economics,Daily
akistan,Exchange Rate,10/1/2021,169.75,Trading Economics,Daily
akistan,Exchange Rate,9/30/2021,170.5,Trading Economics,Daily
akistan,Exchange Rate,9/29/2021,170.25,Trading Economics,Daily
akistan,Exchange Rate,9/28/2021,169.6,Trading Economics,Daily
akistan,Exchange Rate,9/27/2021,169.4,Trading Economics,Daily
akistan,Exchange Rate,9/24/2021,168.9,Trading Economics,Daily
akistan,Exchange Rate,9/23/2021,168.8,Trading Economics,Daily
akistan,Exchange Rate,9/22/2021,168.25,Trading Economics,Daily
akistan,Exchange Rate,9/21/2021,168.3,Trading Economics,Daily
akistan,Exchange Rate,9/20/2021,168.5,Trading Economics,Daily
akistan,Exchange Rate,9/17/2021,167.46,Trading Economics,Daily
akistan,Exchange Rate,9/16/2021,167.5,Trading Economics,Daily
akistan,Exchange Rate,9/15/2021,169.25,Trading Economics,Daily
akistan,Exchange Rate,9/14/2021,167.9,Trading Economics,Daily
akistan,Exchange Rate,9/13/2021,167.9,Trading Economics,Daily
akistan,Exchange Rate,9/11/2021,167.9,Trading Economics,Daily
akistan,Exchange Rate,9/10/2021,167.9,Trading Economics,Daily
akistan,Exchange Rate,9/9/2021,167.5,Trading Economics,Daily
akistan,Exchange Rate,9/8/2021,167,Trading Economics,Daily
akistan,Exchange Rate,9/7/2021,167.5,Trading Economics,Daily
akistan,Exchange Rate,9/6/2021,166.7,Trading Economics,Daily
akistan,Exchange Rate,9/3/2021,166.5,Trading Economics,Daily
akistan,Exchange Rate,9/2/2021,167.02,Trading Economics,Daily
akistan,Exchange Rate,9/1/2021,166.5,Trading Economics,Daily
akistan,Exchange Rate,8/31/2021,166.25,Trading Economics,Daily
akistan,Exchange Rate,8/30/2021,164.94,Trading Economics,Daily
akistan,Exchange Rate,8/27/2021,165.7,Trading Economics,Daily
akistan,Exchange Rate,8/26/2021,166,Trading Economics,Daily
akistan,Exchange Rate,8/25/2021,165.75,Trading Economics,Daily
akistan,Exchange Rate,8/24/2021,164.75,Trading Economics,Daily
akistan,Exchange Rate,8/23/2021,164.2,Trading Economics,Daily
akistan,Exchange Rate,8/20/2021,164.05,Trading Economics,Daily
akistan,Exchange Rate,8/19/2021,163.6,Trading Economics,Daily
akistan,Exchange Rate,8/18/2021,163.6,Trading Economics,Daily
akistan,Exchange Rate,8/17/2021,163.6,Trading Economics,Daily
akistan,Exchange Rate,8/16/2021,164.1,Trading Economics,Daily
akistan,Exchange Rate,8/13/2021,163.6,Trading Economics,Daily
akistan,Exchange Rate,8/12/2021,163.6,Trading Economics,Daily
akistan,Exchange Rate,8/11/2021,163.85,Trading Economics,Daily
akistan,Exchange Rate,8/10/2021,163.5,Trading Economics,Daily
akistan,Exchange Rate,8/9/2021,163.75,Trading Economics,Daily
akistan,Exchange Rate,8/6/2021,163.1,Trading Economics,Daily
akistan,Exchange Rate,8/5/2021,163.4,Trading Economics,Daily
akistan,Exchange Rate,8/4/2021,163.5,Trading Economics,Daily
akistan,Exchange Rate,8/3/2021,162.65,Trading Economics,Daily
akistan,Exchange Rate,8/2/2021,163.25,Trading Economics,Daily
akistan,Exchange Rate,7/30/2021,161.75,Trading Economics,Daily
akistan,Exchange Rate,7/29/2021,161.5,Trading Economics,Daily
akistan,Exchange Rate,7/28/2021,161.5,Trading Economics,Daily
akistan,Exchange Rate,7/27/2021,161,Trading Economics,Daily
akistan,Exchange Rate,7/26/2021,161,Trading Economics,Daily
akistan,Exchange Rate,7/23/2021,161.46,Trading Economics,Daily
akistan,Exchange Rate,7/22/2021,160.7,Trading Economics,Daily
akistan,Exchange Rate,7/21/2021,160.7,Trading Economics,Daily
akistan,Exchange Rate,7/20/2021,160.7,Trading Economics,Daily
akistan,Exchange Rate,7/19/2021,160.7,Trading Economics,Daily
akistan,Exchange Rate,7/18/2021,159,Trading Economics,Daily
akistan,Exchange Rate,7/16/2021,159,Trading Economics,Daily
akistan,Exchange Rate,7/15/2021,159,Trading Economics,Daily
akistan,Exchange Rate,7/14/2021,158.5,Trading Economics,Daily
akistan,Exchange Rate,7/13/2021,159,Trading Economics,Daily
akistan,Exchange Rate,7/12/2021,159.4,Trading Economics,Daily
akistan,Exchange Rate,7/11/2021,158.95,Trading Economics,Daily
akistan,Exchange Rate,7/9/2021,158.9,Trading Economics,Daily
akistan,Exchange Rate,7/8/2021,159,Trading Economics,Daily
akistan,Exchange Rate,7/7/2021,158.3,Trading Economics,Daily
akistan,Exchange Rate,7/6/2021,158.05,Trading Economics,Daily
akistan,Exchange Rate,7/5/2021,157.68,Trading Economics,Daily
